user_id,phone_number,full_name,created_at,kyc_status,risk_score,is_fraud
1,546-345-2647x671,Tanner Brown,2024-03-27 21:52:47.700696,VERIFIED,0.1,0.0
2,396.371.1733x96345,Cesar Morrison,2025-06-14 21:52:47.700696,VERIFIED,0.21,0.0
3,(545)849-1257x0635,Mr. Luis Wilcox,2023-06-11 21:52:47.701708,VERIFIED,0.01,0.0
4,641-523-5972,Meghan Walker,2024-01-13 21:52:47.701708,VERIFIED,0.09,0.0
5,758.711.3251x2502,Sarah Taylor,2023-10-05 21:52:47.701708,VERIFIED,0.09,0.0
6,694-883-7644,Dawn Gomez,2025-04-21 21:52:47.702742,VERIFIED,0.24,0.0
7,582.982.0911,Kenneth Johnson,2025-06-14 21:52:47.702742,VERIFIED,0.08,0.0
8,(411)330-4973x3881,Robert Phillips,2024-02-17 21:52:47.702742,VERIFIED,0.02,0.0
9,392-821-5075x6111,Alexander Greene,2025-02-18 21:52:47.702742,PENDING,0.25,0.0
10,(824)224-7188,Nichole Taylor,2024-05-07 21:52:47.703825,VERIFIED,0.08,0.0
11,001-496-991-5183x63702,David Ewing,2023-05-07 21:52:47.703825,VERIFIED,0.24,0.0
12,475-263-5070,Joshua Padilla,2023-07-29 21:52:47.703825,VERIFIED,0.1,0.0
13,3754157488,Christina Schultz,2025-10-31 21:52:47.703825,VERIFIED,0.23,0.0
14,(360)252-6016x47334,Edward Ballard,2025-10-30 21:52:47.704880,VERIFIED,0.16,0.0
15,681.573.2400x78189,Ryan Jones,2023-11-05 21:52:47.705421,PENDING,0.04,0.0
16,285.317.8779x2884,Garrett Mcmahon,2025-05-15 21:52:47.705421,VERIFIED,0.06,0.0
17,(868)915-4226x494,Cindy Petersen,2024-11-24 21:52:47.705421,PENDING,0.17,0.0
18,3335648746,Richard Davis,2025-05-03 21:52:47.707009,VERIFIED,0.13,0.0
19,(928)605-1029,Tara Wilson,2025-04-04 21:52:47.707009,VERIFIED,0.24,0.0
20,001-482-604-9503x391,Krista Jones,2023-07-08 21:52:47.707009,VERIFIED,0.09,0.0
21,593-823-9922x90632,Brian Schultz,2023-08-23 21:52:47.707009,PENDING,0.27,0.0
22,(788)722-2987,Miranda Lara,2025-02-27 21:52:47.707009,VERIFIED,0.02,0.0
23,(918)629-0722,Elizabeth Jones,2025-06-27 21:52:47.707009,VERIFIED,0.24,0.0
24,+1-281-470-3452x536,Willie Wells,2023-12-15 21:52:47.709243,VERIFIED,0.16,0.0
25,(388)352-8708x15569,Phillip Wheeler,2025-08-13 21:52:47.709243,VERIFIED,0.03,0.0
26,266.819.8748,Thomas Wilson,2023-05-12 21:52:47.709243,VERIFIED,0.19,0.0
27,(381)897-2744,Darin Novak,2024-10-10 21:52:47.709243,VERIFIED,0.07,0.0
28,714-929-2278,Kristin Young,2025-11-12 21:52:47.711083,VERIFIED,0.1,0.0
29,805.227.0443x04111,Mrs. Natasha Blake DDS,2025-09-15 21:52:47.711083,VERIFIED,0.19,0.0
30,+1-356-927-6366x01363,Elizabeth Smith,2025-11-07 21:52:47.711083,VERIFIED,0.27,0.0
31,336.412.3445x39334,David Simpson,2025-07-16 21:52:47.711083,VERIFIED,0.24,0.0
32,001-282-983-7986x15128,Christopher Heath,2025-10-23 21:52:47.712660,VERIFIED,0.04,0.0
33,5424977782,Stephanie Ramirez,2024-07-09 21:52:47.712660,VERIFIED,0.26,0.0
34,001-201-824-7741x39731,Dr. Dean Bernard,2024-12-14 21:52:47.713695,VERIFIED,0.25,0.0
35,467-204-5471x8689,Nancy Jarvis,2023-05-01 21:52:47.713695,PENDING,0.26,0.0
36,001-721-649-8135x6856,Steven Bennett,2024-01-18 21:52:47.714692,VERIFIED,0.09,0.0
37,4457314304,Jessica Johnson,2024-11-27 21:52:47.714692,VERIFIED,0.26,1.0
38,+1-587-780-3138x217,Tracy Gonzalez,2025-01-02 21:52:47.714692,VERIFIED,0.05,0.0
39,(398)889-8368x08083,Tammy Delacruz,2025-05-08 21:52:47.715693,VERIFIED,0.23,0.0
40,619-744-8919x96531,Cory Valencia,2023-09-11 21:52:47.716204,VERIFIED,0.21,0.0
41,+1-874-765-0240x02292,Matthew Rose,2024-04-04 21:52:47.716204,VERIFIED,0.21,0.0
42,6153132492,Brandy Snyder,2024-09-05 21:52:47.717216,VERIFIED,0.2,0.0
43,(376)261-2055x76459,Penny Smith,2024-04-06 21:52:47.717216,VERIFIED,0.24,0.0
44,934.743.4897x15501,Jessica Villegas,2023-07-28 21:52:47.717216,VERIFIED,0.13,0.0
45,211.986.6404,Laura Thomas,2023-12-14 21:52:47.718298,PENDING,0.2,0.0
46,8976352117,Troy Taylor,2023-05-07 21:52:47.718298,VERIFIED,0.03,0.0
47,+1-827-487-2549,Andrew Ward,2025-07-08 21:52:47.718298,VERIFIED,0.04,0.0
48,304-639-8231x333,Matthew Edwards,2025-12-22 21:52:47.719297,VERIFIED,0.25,0.0
49,(684)485-3899x277,Matthew Mccarthy,2025-04-26 21:52:47.719297,PENDING,0.09,0.0
50,758.563.2365x32431,Wendy Saunders,2024-04-15 21:52:47.720297,VERIFIED,0.12,0.0
51,(460)224-1468x28692,Adam Stephenson,2025-12-20 21:52:47.720297,VERIFIED,0.17,0.0
52,+1-529-931-1945x129,Lacey Evans,2025-10-15 21:52:47.720297,VERIFIED,0.26,0.0
53,(317)698-2920,Jesse Holmes,2024-07-08 21:52:47.720297,PENDING,0.07,0.0
54,9876393957,Terrence Powers,2023-11-04 21:52:47.721808,VERIFIED,0.08,0.0
55,629.241.1381,Nicole Beasley,2024-12-07 21:52:47.721808,VERIFIED,0.29,0.0
56,554-994-8728x87734,Timothy Sweeney,2025-11-06 21:52:47.721808,VERIFIED,0.07,0.0
